timestamp,sn,text,EST
2017-07-17 00:27:03,jackflackdaily,Comey negotiating for big bucks for tell all memoir book https://t.co/qn7PSAj7WJ #trump #maga #deplorables… https://t.co/uAkBsrQiwN,2017-07-16 19:27:03
2017-07-17 00:26:54,SusanEStein3,"RT @GaryNewkirk: @FaceTheNation @JaySekulow To borrow a mine from #DonaldTrump's ""but Hillary"" deflection, but Jr's emails...",2017-07-16 19:26:54
2017-07-17 00:26:19,RickyRayinGA,"RT @WashTimes: #DonaldTrump names #TyCobb as White House special counsel in light of ongoing #Russian investigation. #russiameeting
https:/…",2017-07-16 19:26:19
2017-07-17 00:26:05,SteedLA67,"RT @JamesReader_RP: #DonaldTrump’s Sunday Tweet About His Approval Rating is Complete, Total, Delusional Horseshit &gt;&gt;https://t.co/EPYVjn34Z…",2017-07-16 19:26:05
2017-07-17 00:25:59,DailyCopWatch,Even Members Of Congress Are Calling Out The Stupidity Of Trump’s Lawyer https://t.co/dwG2zSftoc #donaldtrump,2017-07-16 19:25:59
2017-07-17 00:25:26,Dax_x98,RT @Dax_x98: #TrumpPutin #RussianCollusion #Putinspuppet #Putin #RussiaGate #Resistance #DonaldTrump #VladimirPutin #TrumpJr #TrumpLies #Tr…,2017-07-16 19:25:26
2017-07-17 00:25:19,TechEFX,It's true #DonaldTrump #Antifa https://t.co/lhu84z7wZ6,2017-07-16 19:25:19
2017-07-17 00:25:19,ChiGeminorum,RT @Tonup_: They just keep pushing each other's buttons. #DonaldTrump #KimJongUn https://t.co/mnsHq8CUuU,2017-07-16 19:25:19
2017-07-17 00:24:58,LoveIrreverence,#DonJr himself could tell #DonaldTrump the former was a named source and the latter would still call it #FakeNews.… https://t.co/BhgJGyxnCy,2017-07-16 19:24:58
2017-07-17 00:24:26,PoliKartoons,RT @Tonup_: They just keep pushing each other's buttons. #DonaldTrump #KimJongUn https://t.co/mnsHq8CUuU,2017-07-16 19:24:26
2017-07-17 00:24:15,MikeyPyroWriter,People would be much more offended if Donald Trump were the new Doctor Who. #DoctorWho13 #humor #DonaldTrump,2017-07-16 19:24:15
2017-07-17 00:23:37,4truthhealing,RT @GatestoneInst: Rouhani and Trump: Together against Iran's Men with Guns? https://t.co/RBIWvtKTXG #Rouhani #DonaldTrump #Iran #IRGC @Ami…,2017-07-16 19:23:37
2017-07-17 00:22:40,Donald_Trump_Q,"""People don’t ask that question, but why was there the Civil War?"" -Donald Trump #POTUS #DonaldTrump #Trump #TrumpProtest",2017-07-16 19:22:40
2017-07-17 00:22:35,Richard55375962,@realDonaldTrump #DonaldTrump scheduled an operation to make his hands larger so he can pile more shit on to the American people,2017-07-16 19:22:35
2017-07-17 00:21:49,1rizwan_shoukat,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:49
2017-07-17 00:21:49,Kashif_Noor_MHD,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:49
2017-07-17 00:21:49,FaisalBashir_pk,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:49
2017-07-17 00:21:48,Rehman_ali0,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:48
2017-07-17 00:21:46,Haashir_Ali,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:46
2017-07-17 00:21:46,KartikGohar,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:46
2017-07-17 00:21:45,Yasirali093,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:45
2017-07-17 00:21:45,Sameer_Shakir1,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:45
2017-07-17 00:21:45,Shahzad_Ikram1,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:45
2017-07-17 00:21:44,waseemeawan77,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:44
2017-07-17 00:21:43,Awais_Khan_pk,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:43
2017-07-17 00:21:43,Murtaza_ali_CA,RT @rafu007: An Introduction to #Wahhabism https://t.co/Yn7Y6Yevig #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump…,2017-07-16 19:21:43
2017-07-17 00:21:12,AmjadHussain299,The Mischief of the Pseudo #Muslims https://t.co/kjutarJt75 #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump #MikePence,2017-07-16 19:21:12
2017-07-17 00:20:41,shittydonald,"An old expression, “to the Golden Globes. ##joking #donaldtrump #donald",2017-07-16 19:20:41
2017-07-17 00:20:40,WTFisGoingOnDon,#TrumpRussia #TrumpRussiaInvestigation #TrumpRussiaInvestigation #Russia #RussiaGate #Putinspuppet #donaldtrump https://t.co/3erfeK4Fah,2017-07-16 19:20:40
2017-07-17 00:19:10,ISISEVIL001,What is #Wahhabism? https://t.co/E6tkqGcaA4 #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #SaudiArabia,2017-07-16 19:19:10
2017-07-17 00:18:57,NAagencia,"#INTERNACIONAL (cont.) Según publica un sondeo, #DonaldTrump ha perdido apoyo popular  @washingtonPost @ABC https://t.co/bVBIeHgwC1",2017-07-16 19:18:57
